gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2423004790	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/32478397	Animalia	Arthropoda	Insecta	Odonata	Libellulidae	Tramea	Tramea lacerata		SPECIES	Tramea lacerata Hagen, 1861	Tramea lacerata		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.36422	-120.424003	12.0						2019-09-10T08:39:35Z	10	9	2019	1428475	1428475	HUMAN_OBSERVATION	iNaturalist	Observations	32478397			2019-09-23T17:50:55Z	CC_BY_NC_4_0	lunasare	lunasare			2019-10-01T08:01:26.785Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2397560940	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/31516078	Animalia	Arthropoda	Insecta	Hymenoptera	Cynipidae	Andricus	Andricus kingi		SPECIES	Andricus kingi Bassett, 1900	Andricus kingi		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.365097	-120.425788	5.0						2019-08-25T11:52:05Z	25	8	2019	1309594	1309594	HUMAN_OBSERVATION	iNaturalist	Observations	31516078			2019-08-26T00:25:01Z	CC_BY_NC_4_0	Enrique	Enrique			2019-09-20T15:55:58.017Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2308501445	ad43e954-dd79-4986-ae34-9ccdbd8bf568	KX882090	Animalia	Arthropoda	Branchiopoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta lynchi		SPECIES	Branchinecta lynchi Eng, Belk & Eriksen, 1990	Branchinecta lynchi		US	USA				ada9d123-ddb4-467d-8891-806ea8d94230	37.37	-120.42							1999-02-26T00:00:00Z	26	2	1999	2235372	2235372	PRESERVED_SPECIMEN							CC_BY_4_0		US Fish and Wildlife Service			2019-09-20T16:14:30.573Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2308377953	ad43e954-dd79-4986-ae34-9ccdbd8bf568	KX882091	Animalia	Arthropoda	Branchiopoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta lynchi		SPECIES	Branchinecta lynchi Eng, Belk & Eriksen, 1990	Branchinecta lynchi		US	USA				ada9d123-ddb4-467d-8891-806ea8d94230	37.37	-120.42							1999-02-26T00:00:00Z	26	2	1999	2235372	2235372	PRESERVED_SPECIMEN							CC_BY_4_0		US Fish and Wildlife Service			2019-09-20T16:14:30.575Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2273275977	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/27569741	Animalia	Arthropoda	Insecta	Odonata	Calopterygidae	Hetaerina	Hetaerina americana		SPECIES	Hetaerina americana Fabricius, 1798	Hetaerina americana		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.370421	-120.404691	28417.0						2019-06-11T12:57:00Z	11	6	2019	1427142	1427142	HUMAN_OBSERVATION	iNaturalist	Observations	27569741			2019-06-24T14:48:35Z	CC_BY_NC_4_0	Zach Cava	Zach Cava			2019-09-20T19:12:11.864Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2273200107	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/21888086	Animalia	Chordata	Aves	Passeriformes	Icteridae	Quiscalus	Quiscalus mexicanus		SPECIES	Quiscalus mexicanus (Gmelin, 1788)	Quiscalus mexicanus		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.36368	-120.426658	6.0						2019-04-01T14:58:58Z	1	4	2019	9476062	9476062	HUMAN_OBSERVATION	iNaturalist	Observations	21888086			2019-04-01T22:03:32Z	CC_BY_NC_4_0	victoriaelizr	victoriaelizr			2019-09-21T02:35:34.469Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2251977254	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/26083803	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Sayornis	Sayornis nigricans		SPECIES	Sayornis nigricans (Swainson, 1827)	Sayornis nigricans		US		California			28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.365717	-120.422983							2019-05-23T10:45:31Z	23	5	2019	2483612	2483612	HUMAN_OBSERVATION	iNaturalist	Observations	26083803			2019-05-30T22:41:23Z	CC_BY_NC_4_0	fcannizzo2	fcannizzo2			2019-09-21T02:28:53.298Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2249931015	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMIN135349-18	Animalia	Arthropoda	Branchiopoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta lynchi		SPECIES	Branchinecta lynchi Eng, Belk & Eriksen, 1990	Branchinecta lynchi		US					b3bf3a83-1f68-4541-a03f-330d30d567f5	37.37	-120.42											2235372	2235372	UNKNOWN			RW14.101				CC_BY_4_0	Barcode of Life Datasystems				2019-10-01T13:35:31.924Z		GEODETIC_DATUM_ASSUMED_WGS84
2249930847	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMIN135345-18	Animalia	Arthropoda	Branchiopoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta lynchi		SPECIES	Branchinecta lynchi Eng, Belk & Eriksen, 1990	Branchinecta lynchi		US					b3bf3a83-1f68-4541-a03f-330d30d567f5	37.37	-120.42											2235372	2235372	UNKNOWN			RW14.102				CC_BY_4_0	Barcode of Life Datasystems				2019-10-01T13:35:31.476Z		GEODETIC_DATUM_ASSUMED_WGS84
2249086539	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=DISA734-19	Animalia	Arthropoda	Branchiopoda	Anostraca	Branchinectidae	Branchinecta	Branchinecta lynchi		SPECIES	Branchinecta lynchi Eng, Belk & Eriksen, 1990	Branchinecta lynchi		US	USA, California, Merced County, Merced University				b3bf3a83-1f68-4541-a03f-330d30d567f5	37.37	-120.42							1999-02-26T00:00:00Z	26	2	1999	2235372	2235372	UNKNOWN			LACM:DISCO:5818		DISCO MBC LACM		CC_BY_4_0	Barcode of Life Datasystems	US Fish and Wildlife Service (SG)			2019-09-20T16:14:30.569Z		GEODETIC_DATUM_ASSUMED_WGS84
